kind,target,class,member,status,ll_file,ll_line,decl,project_file,project_line,note
hook,BlockSource::fireBlockChanged,BlockSource,fireBlockChanged,FOUND_ELSEWHERE,src/mc/world/level/BlockSource.h,282,virtual void fireBlockChanged(,src/Hook/Hooks/MiscHooks/FireBlockChangedHook.cpp,26,"найдено в другом классе — проверь, тот ли это метод"
hook,Keyboard::feed,Keyboard,feed,NOT_IN_CLASS,,,,src/Hook/Hooks/MiscHooks/KeyHook.cpp,226,в 1.26 хук клавиатуры не нужен: ll::event::input::KeyInputEvent + ll::input::KeyRegistry::getOrCreateKey (src-client/ll/api/event/input)
hook,MouseDevice::feed,MouseDevice,feed,FOUND_THUNK,src-client/mc/deps/input/MouseDevice.h,30,"feed(char actionButtonId, schar buttonData, short x, short y, short dx, short dy, bool forceMotionlessPointer);",src/Hook/Hooks/MiscHooks/MouseHook.cpp,106,альтернатива без хука: ll::event::input::MouseInputEvent
hook,ClientInstance::isPreGame,ClientInstance,isPreGame,FOUND,src-client/mc/client/game/ClientInstance.h,1755,MCAPI bool $isPreGame() const;,src/Hook/Hooks/MiscHooks/PreGameHook.cpp,26,готовый символ + транк $isPreGame
hook,ConnectionRequest::create,ConnectionRequest,create,FOUND_THUNK,src/mc/network/ConnectionRequest.h,68,MCAPI static ::ConnectionRequest create(,src/Hook/Hooks/NetworkHooks/ConnectionRequestHook.cpp,61,
hook,PacketHandlerDispatcherInstance<,?,PacketHandlerDispatcherInstance<,CLASS_MISSING,,,,src/Hook/Hooks/NetworkHooks/PacketReceiveHook.cpp,68,"класс есть: src/mc/network/PacketHandlerDispatcherInstance.h (шаблон, имя в Detour обрезано)"
hook,LoopbackPacketSender::send,LoopbackPacketSender,send,FOUND,src/mc/network/LoopbackPacketSender.h,64,MCAPI void $send(::Packet& packet);,src/Hook/Hooks/NetworkHooks/PacketSendHook.cpp,79,готовый символ (send/sendTo/sendToServer)
hook,RakNet::RakPeer::GetLastPing,RakPeer,GetLastPing,FOUND,src/mc/deps/raknet/RakPeer.h,788,MCAPI int $GetLastPing(::RakNet::AddressOrGUID const systemIdentifier) const;,src/Hook/Hooks/NetworkHooks/RakPeerHooks.cpp,96,"RakNet в хидерах ещё есть (src/mc/deps/raknet/RakPeer.h), но появился src/mc/external/webrtc — транспорт менялся, проверять вживую"
hook,RakNet::RakPeer::RunUpdateCycle,RakPeer,RunUpdateCycle,FOUND,src/mc/deps/raknet/RakPeer.h,887,MCAPI bool $RunUpdateCycle(::RakNet::BitStream& updateBitStream);,src/Hook/Hooks/NetworkHooks/RakPeerHooks.cpp,102,см. RakNet::RakPeer::GetLastPing
hook,RakNet::RakPeer::SendImmediate,RakPeer,SendImmediate,FOUND_THUNK,src/mc/deps/raknet/RakPeer.h,615,MCAPI bool SendImmediate(,src/Hook/Hooks/NetworkHooks/RakPeerHooks.cpp,103,в RakPeer.h есть Send + транк $Send; SendImmediate ищите рядом
hook,ActorRenderDispatcher::render,ActorRenderDispatcher,render,FOUND_THUNK,src-client/mc/client/renderer/actor/ActorRenderDispatcher.h,93,"MCAPI void render(::BaseActorRenderContext& entityRenderContext, ::Actor& entity, bool ignoreLighting);",src/Hook/Hooks/RenderHooks/ActorRenderDispatcherHook.cpp,35,
hook,HoverTextRenderer::render,HoverTextRenderer,render,FOUND,src-client/mc/client/gui/controls/renderers/HoverTextRenderer.h,60,"MCAPI void $render(::MinecraftUIRenderContext& renderContext, ::IClientInstance& client, ::UIControl&, int);",src/Hook/Hooks/RenderHooks/HoverTextRendererHook.cpp,30,
hook,ItemRenderer::render,ItemRenderer,render,FOUND,src-client/mc/client/renderer/actor/ItemRenderer.h,245,"MCAPI void $render(::BaseActorRenderContext& renderContext, ::ActorRenderData& entityRenderData);",src/Hook/Hooks/RenderHooks/ItemRendererHook.cpp,25,
hook,CameraDirectLookSystemUtil::_handleLookInput,CameraDirectLookSystemUtil,_handleLookInput,CLASS_MISSING,,,,src/Hook/Hooks/RenderHooks/LookInputHook.cpp,36,класс переехал: теперь CameraDirectLookComponent / CameraDirectLookDefinition
hook,mce::framebuilder::RenderItemInHandDescription::RenderItemInHandDescription,RenderItemInHandDescription,RenderItemInHandDescription,EMPTY_CLASS,src/mc/deps/minecraft_renderer/framebuilder/RenderItemInHandDescription.h,7,struct RenderItemInHandDescription {};,src/Hook/Hooks/RenderHooks/RenderItemInHandHook.cpp,29,структура в хидерах пустая (layout неизвестен) — только ручной реверс
hook,MinecraftUIRenderContext::drawImage,MinecraftUIRenderContext,drawImage,FOUND,src-client/mc/client/renderer/screen/MinecraftUIRenderContext.h,299,MCAPI void $drawImage(,src/Hook/Hooks/RenderHooks/SetupAndRenderHook.cpp,66,
hook,ScreenView::setupAndRender,ScreenView,setupAndRender,FOUND_THUNK,src-client/mc/client/gui/screens/ScreenView.h,319,MCAPI void render(::UIRenderContext& uiRenderContext);,src/Hook/Hooks/RenderHooks/SetupAndRenderHook.cpp,72,в 1.26 это ScreenView::render; LeviLamina уже хукает его и даёт Before/AfterUIRenderEvent (src-client/ll/api/event/render) | переименовано: render
sig,ClientInstance_getLocalPlayer,ClientInstance,getLocalPlayer,FOUND,src-client/mc/client/game/ClientInstance.h,1472,MCAPI ::LocalPlayer* $getLocalPlayer() const;,src/SDK/OffsetProvider.hpp,66,
sig,ClientInstance_getBlockSource,ClientInstance,getBlockSource,FOUND_ELSEWHERE,src/mc/gametest/MinecraftGameTestHelper.h,264,virtual ::std::optional<::gametest::GameTestError> getBlockSource(::BlockSource*& blockSourceResult) /*override*/;,src/SDK/OffsetProvider.hpp,68,"найдено в другом классе — проверь, тот ли это метод"
sig,ClientInstance_getOptions,ClientInstance,getOptions,FOUND,src-client/mc/client/game/ClientInstance.h,1761,MCAPI ::IOptionRegistry& $getOptions();,src/SDK/OffsetProvider.hpp,70,
sig,ClientInstance_getScreenName,ClientInstance,getScreenName,FOUND,src-client/mc/client/game/ClientInstance.h,1909,MCAPI ::std::string $getScreenName() const;,src/SDK/OffsetProvider.hpp,72,закомментировано в проекте
sig,ClientInstance_getMouseGrabbed,ClientInstance,getMouseGrabbed,FOUND,src-client/mc/client/game/ClientInstance.h,1707,MCAPI bool $getMouseGrabbed() const;,src/SDK/OffsetProvider.hpp,74,
sig,ClientInstance_setDisableInput,ClientInstance,setDisableInput,FOUND,src-client/mc/client/game/ClientInstance.h,2041,MCAPI void $setDisableInput(bool disableInput);,src/SDK/OffsetProvider.hpp,76,
sig,ClientInstance_grabMouse,ClientInstance,grabMouse,FOUND,src-client/mc/client/game/ClientInstance.h,2043,MCAPI void $grabMouse();,src/SDK/OffsetProvider.hpp,78,
sig,ClientInstance_releaseMouse,ClientInstance,releaseMouse,FOUND,src-client/mc/client/game/ClientInstance.h,2045,MCAPI void $releaseMouse();,src/SDK/OffsetProvider.hpp,80,
sig,ClientInstance_mMinecraftSim,ClientInstance,mMinecraftSim,NOT_IN_CLASS,src-client/mc/client/game/ClientInstance.h,,,src/SDK/OffsetProvider.hpp,82,
sig,ClientInstance_mLevelRenderer,ClientInstance,mLevelRenderer,NOT_IN_CLASS,src-client/mc/client/game/ClientInstance.h,,,src/SDK/OffsetProvider.hpp,84,
sig,ClientInstance_mPacketSender,ClientInstance,mPacketSender,NOT_IN_CLASS,src-client/mc/client/game/ClientInstance.h,,,src/SDK/OffsetProvider.hpp,86,
sig,ClientInstance_mGuiData,ClientInstance,mGuiData,NOT_IN_CLASS,src-client/mc/client/game/ClientInstance.h,,,src/SDK/OffsetProvider.hpp,88,закомментировано в проекте
sig,MinecraftGame_playUi,MinecraftGame,playUi,NOT_IN_CLASS,src-client/mc/client/game/MinecraftGame.h,,,src/SDK/OffsetProvider.hpp,90,
sig,MinecraftGame_mClientInstances,MinecraftGame,mClientInstances,NOT_IN_CLASS,src-client/mc/client/game/MinecraftGame.h,,,src/SDK/OffsetProvider.hpp,92,
sig,MinecraftGame_mProfanityContext,MinecraftGame,mProfanityContext,NOT_IN_CLASS,src-client/mc/client/game/MinecraftGame.h,,,src/SDK/OffsetProvider.hpp,94,
sig,MinecraftGame_mMouseGrabbed,MinecraftGame,mMouseGrabbed,NOT_IN_CLASS,src-client/mc/client/game/MinecraftGame.h,,,src/SDK/OffsetProvider.hpp,96,
sig,MainView_bedrockPlatform,MainView,bedrockPlatform,CLASS_MISSING,,,,src/SDK/OffsetProvider.hpp,98,
sig,Actor_baseTick,Actor,baseTick,FOUND,src/mc/world/actor/Actor.h,1254,MCAPI void $baseTick();,src/SDK/OffsetProvider.hpp,100,
sig,MinecraftSim_mGameSim,MinecraftSim,mGameSim,CLASS_MISSING,,,,src/SDK/OffsetProvider.hpp,102,
sig,MinecraftSim_mRenderSim,MinecraftSim,mRenderSim,CLASS_MISSING,,,,src/SDK/OffsetProvider.hpp,104,
sig,MinecraftSim_mGameSession,MinecraftSim,mGameSession,CLASS_MISSING,,,,src/SDK/OffsetProvider.hpp,106,
sig,GameSession_mEventCallback,GameSession,mEventCallback,NOT_IN_CLASS,src/mc/world/GameSession.h,,,src/SDK/OffsetProvider.hpp,108,
sig,BedrockPlatformUWP_mcGame,BedrockPlatformUWP,mcGame,CLASS_MISSING,,,,src/SDK/OffsetProvider.hpp,110,
sig,bgfx_d3d12_RendererContextD3D12_m_commandQueue,bgfx,d3d12_RendererContextD3D12_m_commandQueue,NOT_IN_CLASS,src-client/mc/external/bgfx/bgfx.h,,,src/SDK/OffsetProvider.hpp,112,
sig,bgfx_context_m_renderCtx,bgfx,context_m_renderCtx,NOT_IN_CLASS,src-client/mc/external/bgfx/bgfx.h,,,src/SDK/OffsetProvider.hpp,114,
sig,BlockLegacy_mBlockId,BlockLegacy,mBlockId,CLASS_MISSING,,,,src/SDK/OffsetProvider.hpp,116,
sig,BlockLegacy_mayPlaceOn,BlockLegacy,mayPlaceOn,FOUND_ELSEWHERE,src/mc/world/level/block/AzaleaBlock.h,47,"virtual bool mayPlaceOn(::BlockSource& region, ::BlockPos const& pos) const /*override*/;",src/SDK/OffsetProvider.hpp,118,"найдено в другом классе — проверь, тот ли это метод"
sig,Actor_mContainerManagerModel,Actor,mContainerManagerModel,NOT_IN_CLASS,src/mc/world/actor/Actor.h,,,src/SDK/OffsetProvider.hpp,120,
sig,Actor_mGameMode,Actor,mGameMode,NOT_IN_CLASS,src/mc/world/actor/Actor.h,,,src/SDK/OffsetProvider.hpp,122,
sig,Actor_mSupplies,Actor,mSupplies,NOT_IN_CLASS,src/mc/world/actor/Actor.h,,,src/SDK/OffsetProvider.hpp,124,
sig,PlayerInventory_mContainer,PlayerInventory,mContainer,FOUND_ELSEWHERE,src/mc/world/ContainerIterator.h,16,"[[nodiscard]] constexpr ContainerIterator(T* container, int position) : mContainer(container), mSlot(position) {}",src/SDK/OffsetProvider.hpp,126,"найдено в другом классе — проверь, тот ли это метод"
sig,Container_getItem,Container,getItem,FOUND_THUNK,src/mc/world/Container.h,62,[[nodiscard]] ItemStack const& operator[](int index) const { return this->getItem(index); },src/SDK/OffsetProvider.hpp,128,
sig,LevelRenderer_mRendererPlayer,LevelRenderer,mRendererPlayer,NOT_IN_CLASS,src-client/mc/client/renderer/game/LevelRenderer.h,,,src/SDK/OffsetProvider.hpp,130,
sig,LevelRendererPlayer_mCameraPos,LevelRendererPlayer,mCameraPos,NOT_IN_CLASS,src-client/mc/client/renderer/game/LevelRendererPlayer.h,,,src/SDK/OffsetProvider.hpp,132,
sig,LevelRendererPlayer_mFovX,LevelRendererPlayer,mFovX,NOT_IN_CLASS,src-client/mc/client/renderer/game/LevelRendererPlayer.h,,,src/SDK/OffsetProvider.hpp,134,
sig,LevelRendererPlayer_mFovY,LevelRendererPlayer,mFovY,NOT_IN_CLASS,src-client/mc/client/renderer/game/LevelRendererPlayer.h,,,src/SDK/OffsetProvider.hpp,136,
sig,Actor_mSwinging,Actor,mSwinging,NOT_IN_CLASS,src/mc/world/actor/Actor.h,,,src/SDK/OffsetProvider.hpp,138,
sig,Actor_swing,Actor,swing,FOUND,src/mc/world/actor/Actor.h,1426,"MCFOLD bool $swing(::ActorSwingSource swingSource, ::HandSlot handSlot);",src/SDK/OffsetProvider.hpp,140,
sig,Actor_mLevel,Actor,mLevel,FOUND,src/mc/world/actor/Actor.h,176,[[nodiscard]] Level& getLevel() const { return *reinterpret_cast<Level*>(mLevel); },src/SDK/OffsetProvider.hpp,142,
sig,Level_getHitResult,Level,getHitResult,FOUND,src/mc/world/level/Level.h,2443,MCAPI ::HitResult& $getHitResult();,src/SDK/OffsetProvider.hpp,144,
sig,Level_getPlayerList,Level,getPlayerList,FOUND,src/mc/world/level/Level.h,2411,"MCAPI ::std::unordered_map<::mce::UUID, ::PlayerListEntry> const& $getPlayerList() const;",src/SDK/OffsetProvider.hpp,146,
sig,Level_getPlayerMovementSettings,Level,getPlayerMovementSettings,FOUND,src/mc/world/level/Level.h,2340,MCAPI ::PlayerMovementSettings const& $getPlayerMovementSettings() const;,src/SDK/OffsetProvider.hpp,148,
sig,Level_getLevelData,Level,getLevelData,FOUND,src/mc/world/level/Level.h,1941,MCFOLD ::LevelData& $getLevelData();,src/SDK/OffsetProvider.hpp,150,
sig,Level_getBlockPalette,Level,getBlockPalette,FOUND,src/mc/world/level/Level.h,1766,MCFOLD ::BlockPalette const& $getBlockPalette() const;,src/SDK/OffsetProvider.hpp,152,
sig,LevelData_mTick,LevelData,mTick,NOT_IN_CLASS,src/mc/world/level/storage/LevelData.h,,,src/SDK/OffsetProvider.hpp,154,
sig,Actor_mDestroying,Actor,mDestroying,NOT_IN_CLASS,src/mc/world/actor/Actor.h,,,src/SDK/OffsetProvider.hpp,156,
sig,UIProfanityContext_mEnabled,UIProfanityContext,mEnabled,CLASS_MISSING,,,,src/SDK/OffsetProvider.hpp,158,
sig,Bone_mPartModel,Bone,mPartModel,CLASS_MISSING,,,,src/SDK/OffsetProvider.hpp,160,
sig,Actor_mHurtTimeComponent,Actor,mHurtTimeComponent,NOT_IN_CLASS,src/mc/world/actor/Actor.h,,,src/SDK/OffsetProvider.hpp,162,
sig,BlockSource_getChunk,BlockSource,getChunk,FOUND_ELSEWHERE,src/mc/world/level/BlockSource.h,156,"virtual ::LevelChunk* getChunk(int x, int z) const /*override*/;",src/SDK/OffsetProvider.hpp,164,"найдено в другом классе — проверь, тот ли это метод"
sig,BlockSource_setBlock,BlockSource,setBlock,FOUND_ELSEWHERE,src/mc/editor/EditorStructureBlockSource.h,63,virtual bool setBlock(,src/SDK/OffsetProvider.hpp,166,"найдено в другом классе — проверь, тот ли это метод"
sig,LevelChunk_mSubChunks,LevelChunk,mSubChunks,FOUND,src/mc/world/level/chunk/LevelChunk.h,188,"::ll::TypedStorage<8, 24, ::std::vector<::SubChunk>>               mSubChunks;",src/SDK/OffsetProvider.hpp,168,
sig,BlockSource_mBuildHeight,BlockSource,mBuildHeight,NOT_IN_CLASS,src-client/mc/client/renderer/block/tessellation_pipeline/world_view/BlockSource.h,,,src/SDK/OffsetProvider.hpp,170,
sig,ContainerManagerModel_getContainerType,ContainerManagerModel,getContainerType,FOUND,src/mc/world/containers/managers/models/ContainerManagerModel.h,161,MCFOLD ::SharedTypes::Legacy::ContainerType $getContainerType() const;,src/SDK/OffsetProvider.hpp,172,
sig,ContainerManagerModel_getSlot,ContainerManagerModel,getSlot,FOUND_ELSEWHERE,src/mc/scripting/modules/minecraft/ScriptContainer.h,74,getSlot(,src/SDK/OffsetProvider.hpp,174,"найдено в другом классе — проверь, тот ли это метод"
sig,Actor_mSerializedSkin,Actor,mSerializedSkin,NOT_IN_CLASS,src/mc/world/actor/Actor.h,,,src/SDK/OffsetProvider.hpp,176,
sig,BlockLegacy_getCollisionShape,BlockLegacy,getCollisionShape,FOUND_ELSEWHERE,src/mc/world/level/block/AirBlock.h,54,virtual ::AABB getCollisionShape(,src/SDK/OffsetProvider.hpp,178,"найдено в другом классе — проверь, тот ли это метод"
sig,BlockSource_clip,BlockSource,clip,FOUND_ELSEWHERE,src/mc/util/ClipUtils.h,16,"MCNAPI ::HitResult clip(::BlockPos const& pos, ::Vec3 const& A, ::Vec3 const& B, ::AABB const& aabb);",src/SDK/OffsetProvider.hpp,180,"найдено в другом классе — проверь, тот ли это метод"
sig,ClientInstance_getInputHandler,ClientInstance,getInputHandler,NOT_IN_CLASS,src-client/mc/client/game/ClientInstance.h,,,src/SDK/OffsetProvider.hpp,183,
sig,ClientInputMappingFactory_mKeyboardMouseSettings,ClientInputMappingFactory,mKeyboardMouseSettings,NOT_IN_CLASS,src-client/mc/client/input/ClientInputMappingFactory.h,,,src/SDK/OffsetProvider.hpp,185,
sig,ClientInputHandler_mMappingFactory,ClientInputHandler,mMappingFactory,FOUND,src-client/mc/client/input/ClientInputHandler.h,39,"::ll::TypedStorage<8, 8, ::std::unique_ptr<::ClientInputMappingFactory>> mMappingFactory;",src/SDK/OffsetProvider.hpp,188,закомментировано в проекте
